"Constructor Name","Constructor URL","Engine Manufacturer","Licensed In Country","Base Country","Seasons Active","Wins"
"Leyton House","https://en.wikipedia.org/wiki/Leyton_House_Racing","","United Kingdom","","1990–1991","0"
"Life","https://en.wikipedia.org/wiki/Life_(Racing_Team)","","Italy","","1990","0"
"Ligier/Talbot Ligier","https://en.wikipedia.org/wiki/Equipe_Ligier","","France","","1976–1996","9"
"Lola","https://en.wikipedia.org/wiki/Lola_Cars","","United Kingdom","","1962–1963, 1967–1968, 1974–1975, 1985–1991, 1993, 1997","0"
"Lotus (1958–1994)","https://en.wikipedia.org/wiki/Team_Lotus","","United Kingdom","","1958–1994","79"
"Lotus (2010–2011)","https://en.wikipedia.org/wiki/Team_Lotus_(2010%E2%80%9311)","","Malaysia","","2010–2011","0"
"Lotus (2012–2015)","https://en.wikipedia.org/wiki/Lotus_F1","","United Kingdom","","2012–2015","2"
"Lyncar","https://en.wikipedia.org/wiki/Lyncar","","United Kingdom","","1974–1975","0"
"Maki","https://en.wikipedia.org/wiki/Maki_(constructor)","","Japan","","1974–1976","0"
"Manor","https://en.wikipedia.org/wiki/Manor_Racing","","United Kingdom","","2016","0"
"March","https://en.wikipedia.org/wiki/March_Engineering","","United Kingdom","","1970–1977, 1981–1982, 1987–1989, 1992","3"
"Martini","https://en.wikipedia.org/wiki/Martini_(cars)","","France","","1978","0"
"Marussia","https://en.wikipedia.org/wiki/Marussia_F1","","Russia","","2012–2015","0"
"Maserati","https://en.wikipedia.org/wiki/Maserati_in_motorsport#Formula_One","","Italy","","1950–1960","9"
"Matra","https://en.wikipedia.org/wiki/Equipe_Matra_Sports","","France","","1967–1972","9"
"MBM","https://en.wikipedia.org/wiki/MBM_(automobile)","","Switzerland","","1961","0"
"McGuire","https://en.wikipedia.org/wiki/McGuire_(Formula_One)","","Australia","","1977","0"
"Merzario","https://en.wikipedia.org/wiki/Merzario","","Italy","","1978–1979","0"
"Midland","https://en.wikipedia.org/wiki/Midland_F1_Racing","","Russia","","2006","0"
"Milano","https://en.wikipedia.org/wiki/Milano_(racing_team)","","Italy","","1950","0"
"Minardi","https://en.wikipedia.org/wiki/Minardi","","Italy","","1985–2005","0"
"Onyx","https://en.wikipedia.org/wiki/Onyx_Grand_Prix","","United Kingdom","","1989–1990","0"
"O.S.C.A.","https://en.wikipedia.org/wiki/O.S.C.A.","","Italy","","1951–1953, 1958","0"
